orig_idx,file,emotion,label_id,split,group_id,session_id
0,Ses01F_impro01_F000.wav,neutral,2,train,Ses01F,Ses01
1,Ses01F_impro01_F001.wav,neutral,2,train,Ses01F,Ses01
2,Ses01F_impro01_F002.wav,neutral,2,train,Ses01F,Ses01
3,Ses01F_impro01_F003.wav,neutral,2,train,Ses01F,Ses01
4,Ses01F_impro01_F004.wav,neutral,2,train,Ses01F,Ses01
5,Ses01F_impro01_F005.wav,neutral,2,train,Ses01F,Ses01
6,Ses01F_impro01_F006.wav,frustrated,4,train,Ses01F,Ses01
7,Ses01F_impro01_F007.wav,frustrated,4,train,Ses01F,Ses01
8,Ses01F_impro01_F008.wav,frustrated,4,train,Ses01F,Ses01
9,Ses01F_impro01_F009.wav,frustrated,4,train,Ses01F,Ses01
10,Ses01F_impro01_F010.wav,frustrated,4,train,Ses01F,Ses01
11,Ses01F_impro01_F011.wav,frustrated,4,train,Ses01F,Ses01
12,Ses01F_impro01_F012.wav,angry,0,train,Ses01F,Ses01
13,Ses01F_impro01_F013.wav,frustrated,4,train,Ses01F,Ses01
14,Ses01F_impro01_F014.wav,neutral,2,train,Ses01F,Ses01
15,Ses01F_impro01_F015.wav,frustrated,4,train,Ses01F,Ses01
16,Ses01F_impro01_M000.wav,frustrated,4,train,Ses01F,Ses01
17,Ses01F_impro01_M001.wav,frustrated,4,train,Ses01F,Ses01
18,Ses01F_impro01_M002.wav,frustrated,4,train,Ses01F,Ses01
19,Ses01F_impro01_M003.wav,frustrated,4,train,Ses01F,Ses01
20,Ses01F_impro01_M004.wav,frustrated,4,train,Ses01F,Ses01
21,Ses01F_impro01_M005.wav,frustrated,4,train,Ses01F,Ses01
22,Ses01F_impro01_M006.wav,frustrated,4,train,Ses01F,Ses01
23,Ses01F_impro01_M007.wav,frustrated,4,train,Ses01F,Ses01
24,Ses01F_impro01_M008.wav,frustrated,4,train,Ses01F,Ses01
25,Ses01F_impro01_M009.wav,frustrated,4,train,Ses01F,Ses01
26,Ses01F_impro01_M010.wav,frustrated,4,train,Ses01F,Ses01
27,Ses01F_impro01_M011.wav,angry,0,train,Ses01F,Ses01
28,Ses01F_impro01_M012.wav,frustrated,4,train,Ses01F,Ses01
29,Ses01F_impro01_M013.wav,angry,0,train,Ses01F,Ses01
30,Ses01F_impro02_F000.wav,sad,3,train,Ses01F,Ses01
31,Ses01F_impro02_F001.wav,sad,3,train,Ses01F,Ses01
32,Ses01F_impro02_F002.wav,sad,3,train,Ses01F,Ses01
33,Ses01F_impro02_F003.wav,neutral,2,train,Ses01F,Ses01
34,Ses01F_impro02_F004.wav,sad,3,train,Ses01F,Ses01
35,Ses01F_impro02_F005.wav,sad,3,train,Ses01F,Ses01
36,Ses01F_impro02_F006.wav,neutral,2,train,Ses01F,Ses01
37,Ses01F_impro02_F007.wav,sad,3,train,Ses01F,Ses01
38,Ses01F_impro02_F008.wav,sad,3,train,Ses01F,Ses01
39,Ses01F_impro02_F009.wav,sad,3,train,Ses01F,Ses01
40,Ses01F_impro02_F010.wav,sad,3,train,Ses01F,Ses01
41,Ses01F_impro02_F011.wav,sad,3,train,Ses01F,Ses01
42,Ses01F_impro02_F012.wav,sad,3,train,Ses01F,Ses01
43,Ses01F_impro02_F013.wav,sad,3,train,Ses01F,Ses01
44,Ses01F_impro02_F014.wav,sad,3,train,Ses01F,Ses01
45,Ses01F_impro02_F015.wav,sad,3,train,Ses01F,Ses01
46,Ses01F_impro02_F016.wav,neutral,2,train,Ses01F,Ses01
47,Ses01F_impro02_F017.wav,sad,3,train,Ses01F,Ses01
48,Ses01F_impro02_F018.wav,neutral,2,train,Ses01F,Ses01
49,Ses01F_impro02_F019.wav,sad,3,train,Ses01F,Ses01
50,Ses01F_impro02_F020.wav,sad,3,train,Ses01F,Ses01
51,Ses01F_impro02_M000.wav,sad,3,train,Ses01F,Ses01
52,Ses01F_impro02_M001.wav,sad,3,train,Ses01F,Ses01
53,Ses01F_impro02_M002.wav,frustrated,4,train,Ses01F,Ses01
54,Ses01F_impro02_M003.wav,frustrated,4,train,Ses01F,Ses01
55,Ses01F_impro02_M004.wav,sad,3,train,Ses01F,Ses01
56,Ses01F_impro02_M005.wav,sad,3,train,Ses01F,Ses01
57,Ses01F_impro02_M006.wav,sad,3,train,Ses01F,Ses01
58,Ses01F_impro02_M007.wav,angry,0,train,Ses01F,Ses01
59,Ses01F_impro02_M008.wav,frustrated,4,train,Ses01F,Ses01
60,Ses01F_impro02_M009.wav,sad,3,train,Ses01F,Ses01
61,Ses01F_impro02_M010.wav,sad,3,train,Ses01F,Ses01
62,Ses01F_impro02_M011.wav,sad,3,train,Ses01F,Ses01
63,Ses01F_impro02_M012.wav,neutral,2,train,Ses01F,Ses01
64,Ses01F_impro02_M013.wav,sad,3,train,Ses01F,Ses01
65,Ses01F_impro02_M014.wav,sad,3,train,Ses01F,Ses01
66,Ses01F_impro02_M015.wav,neutral,2,train,Ses01F,Ses01
67,Ses01F_impro02_M016.wav,frustrated,4,train,Ses01F,Ses01
68,Ses01F_impro03_F000.wav,happy,1,train,Ses01F,Ses01
69,Ses01F_impro03_F001.wav,happy,1,train,Ses01F,Ses01
70,Ses01F_impro03_F002.wav,happy,1,train,Ses01F,Ses01
71,Ses01F_impro03_F003.wav,happy,1,train,Ses01F,Ses01
72,Ses01F_impro03_F004.wav,happy,1,train,Ses01F,Ses01
73,Ses01F_impro03_F005.wav,happy,1,train,Ses01F,Ses01
74,Ses01F_impro03_F006.wav,happy,1,train,Ses01F,Ses01
75,Ses01F_impro03_F007.wav,happy,1,train,Ses01F,Ses01
76,Ses01F_impro03_F008.wav,happy,1,train,Ses01F,Ses01
77,Ses01F_impro03_F009.wav,happy,1,train,Ses01F,Ses01
78,Ses01F_impro03_F010.wav,happy,1,train,Ses01F,Ses01
79,Ses01F_impro03_F011.wav,happy,1,train,Ses01F,Ses01
80,Ses01F_impro03_F012.wav,happy,1,train,Ses01F,Ses01
81,Ses01F_impro03_F013.wav,happy,1,train,Ses01F,Ses01
82,Ses01F_impro03_F014.wav,happy,1,train,Ses01F,Ses01
83,Ses01F_impro03_F015.wav,happy,1,train,Ses01F,Ses01
84,Ses01F_impro03_F016.wav,happy,1,train,Ses01F,Ses01
85,Ses01F_impro03_F017.wav,neutral,2,train,Ses01F,Ses01
86,Ses01F_impro03_F018.wav,neutral,2,train,Ses01F,Ses01
87,Ses01F_impro03_F019.wav,neutral,2,train,Ses01F,Ses01
88,Ses01F_impro03_F020.wav,happy,1,train,Ses01F,Ses01
89,Ses01F_impro03_F021.wav,happy,1,train,Ses01F,Ses01
90,Ses01F_impro03_F022.wav,neutral,2,train,Ses01F,Ses01
91,Ses01F_impro03_F023.wav,neutral,2,train,Ses01F,Ses01
92,Ses01F_impro03_F024.wav,happy,1,train,Ses01F,Ses01
93,Ses01F_impro03_F025.wav,happy,1,train,Ses01F,Ses01
94,Ses01F_impro03_F026.wav,happy,1,train,Ses01F,Ses01
95,Ses01F_impro03_M000.wav,neutral,2,train,Ses01F,Ses01
96,Ses01F_impro03_M001.wav,neutral,2,train,Ses01F,Ses01
98,Ses01F_impro03_M003.wav,happy,1,train,Ses01F,Ses01
99,Ses01F_impro03_M004.wav,happy,1,train,Ses01F,Ses01
100,Ses01F_impro03_M005.wav,happy,1,train,Ses01F,Ses01
101,Ses01F_impro03_M006.wav,neutral,2,train,Ses01F,Ses01
102,Ses01F_impro03_M007.wav,happy,1,train,Ses01F,Ses01
103,Ses01F_impro03_M008.wav,neutral,2,train,Ses01F,Ses01
104,Ses01F_impro03_M009.wav,neutral,2,train,Ses01F,Ses01
105,Ses01F_impro03_M010.wav,happy,1,train,Ses01F,Ses01
106,Ses01F_impro03_M011.wav,neutral,2,train,Ses01F,Ses01
107,Ses01F_impro03_M012.wav,happy,1,train,Ses01F,Ses01
108,Ses01F_impro03_M013.wav,happy,1,train,Ses01F,Ses01
109,Ses01F_impro03_M014.wav,happy,1,train,Ses01F,Ses01
110,Ses01F_impro03_M015.wav,happy,1,train,Ses01F,Ses01
111,Ses01F_impro03_M016.wav,neutral,2,train,Ses01F,Ses01
114,Ses01F_impro03_M019.wav,neutral,2,train,Ses01F,Ses01
115,Ses01F_impro03_M020.wav,neutral,2,train,Ses01F,Ses01
116,Ses01F_impro03_M021.wav,neutral,2,train,Ses01F,Ses01
117,Ses01F_impro03_M022.wav,happy,1,train,Ses01F,Ses01
118,Ses01F_impro03_M023.wav,happy,1,train,Ses01F,Ses01
119,Ses01F_impro03_M024.wav,neutral,2,train,Ses01F,Ses01
120,Ses01F_impro04_F000.wav,neutral,2,train,Ses01F,Ses01
