orig_idx,file,emotion,label_id,split
8599,Ses05F_script01_1_M037.wav,sad,3,train
6759,Ses04F_script03_1_M016.wav,happy,1,train
8060,Ses05F_impro03_M000.wav,happy,1,train
1311,Ses01M_script01_1_F033.wav,frustrated,4,train
1355,Ses01M_script01_1_M033.wav,frustrated,4,train
3064,Ses02M_impro08_F006.wav,neutral,2,train
2548,Ses02F_script02_2_M045.wav,happy,1,train
9278,Ses05M_impro05_M007.wav,neutral,2,train
151,Ses01F_impro04_F031.wav,angry,0,train
75,Ses01F_impro03_F007.wav,happy,1,train
6459,Ses04F_script01_2_M010.wav,frustrated,4,train
8930,Ses05F_script03_2_F019.wav,angry,0,train
9256,Ses05M_impro05_F007.wav,neutral,2,train
8479,Ses05F_impro08_F026.wav,neutral,2,train
5728,Ses03M_script03_2_M009.wav,neutral,2,train
1880,Ses02F_impro02_F012.wav,sad,3,train
1532,Ses01M_script02_1_M034.wav,frustrated,4,train
5824,Ses04F_impro02_F009.wav,sad,3,train
2652,Ses02F_script03_2_F036.wav,angry,0,train
3731,Ses03F_impro03_F001.wav,happy,1,train
8052,Ses05F_impro03_F053.wav,happy,1,train
2735,Ses02M_impro01_M002.wav,neutral,2,train
9459,Ses05M_impro08_M009.wav,neutral,2,train
4377,Ses03F_script02_2_F038.wav,sad,3,train
2748,Ses02M_impro01_M015.wav,frustrated,4,train
8207,Ses05F_impro04_M031.wav,neutral,2,train
5304,Ses03M_script01_1_M035.wav,frustrated,4,train
8440,Ses05F_impro07_M024.wav,happy,1,train
6119,Ses04F_impro07_F008.wav,happy,1,train
9976,Ses05M_script03_2_F028.wav,angry,0,train
8546,Ses05F_script01_1_F026.wav,neutral,2,train
8868,Ses05F_script03_1_F025.wav,happy,1,train
6983,Ses04M_impro02_M033.wav,frustrated,4,train
4221,Ses03F_script01_3_F032.wav,sad,3,train
1123,Ses01M_impro05_M006.wav,angry,0,train
7215,Ses04M_impro06_M019.wav,sad,3,train
5998,Ses04F_impro04_F027.wav,frustrated,4,train
3992,Ses03F_impro08_F009.wav,neutral,2,train
7456,Ses04M_script01_2_F006.wav,angry,0,train
6730,Ses04F_script03_1_F018.wav,happy,1,train
7704,Ses04M_script03_1_F010.wav,happy,1,train
394,Ses01F_script01_1_M007.wav,neutral,2,train
4507,Ses03F_script03_2_F008.wav,neutral,2,train
6688,Ses04F_script02_2_M027.wav,frustrated,4,train
6083,Ses04F_impro05_M023.wav,frustrated,4,train
2116,Ses02F_impro07_M006.wav,happy,1,train
3977,Ses03F_impro07_M030.wav,happy,1,train
8996,Ses05F_script03_2_M043.wav,angry,0,train
3399,Ses02M_script02_2_F018.wav,sad,3,train
9273,Ses05M_impro05_M002.wav,neutral,2,train
8031,Ses05F_impro03_F032.wav,happy,1,train
7492,Ses04M_script01_3_F001.wav,happy,1,train
5365,Ses03M_script01_3_F010.wav,frustrated,4,train
1250,Ses01M_impro07_M006.wav,happy,1,train
9525,Ses05M_script01_1_M007.wav,frustrated,4,train
1201,Ses01M_impro06_M023.wav,sad,3,train
4995,Ses03M_impro05b_M024.wav,angry,0,train
5982,Ses04F_impro04_F011.wav,angry,0,train
1463,Ses01M_script01_3_M034.wav,sad,3,train
9177,Ses05M_impro04_F009.wav,neutral,2,train
5162,Ses03M_impro08a_M016.wav,neutral,2,train
4363,Ses03F_script02_2_F024.wav,sad,3,train
9568,Ses05M_script01_1b_F009.wav,frustrated,4,train
4857,Ses03M_impro04_M020.wav,frustrated,4,train
7746,Ses04M_script03_1_M021.wav,happy,1,train
4461,Ses03F_script03_1_F023.wav,happy,1,train
8181,Ses05F_impro04_M005.wav,neutral,2,train
6191,Ses04F_impro07_M000.wav,neutral,2,train
1467,Ses01M_script01_3_M038.wav,sad,3,train
1449,Ses01M_script01_3_M020.wav,sad,3,train
4747,Ses03M_impro03_F027.wav,happy,1,train
4391,Ses03F_script02_2_F052.wav,happy,1,train
3370,Ses02M_script02_1_M034.wav,frustrated,4,train
