file,emotion,char_count,word_count,unique_words,avg_word_len,punct_count,question_count,exclamation_count,sentence_count,avg_sent_len,cleaned_word_count
Ses01F_impro01_F000.wav,neutral,10,2,2,4.5,1,1,0,1,2.0,2
Ses01F_impro01_F001.wav,neutral,5,1,1,5.0,1,0,0,1,1.0,1
Ses01F_impro01_F002.wav,neutral,19,4,4,4.0,1,1,0,1,4.0,4
Ses01F_impro01_F003.wav,neutral,8,2,2,3.5,1,0,0,1,2.0,2
Ses01F_impro01_F004.wav,neutral,52,9,8,4.889,2,0,0,1,9.0,9
Ses01F_impro01_F005.wav,neutral,43,8,8,4.5,4,1,0,2,4.0,9
Ses01F_impro01_F006.wav,frustrated,62,13,12,3.846,5,0,0,3,4.333,15
Ses01F_impro01_F007.wav,frustrated,93,22,17,3.273,2,2,0,2,11.0,22
Ses01F_impro01_F008.wav,frustrated,22,6,6,2.833,2,0,0,1,6.0,7
Ses01F_impro01_F009.wav,frustrated,42,7,6,5.143,3,2,0,3,2.333,7
Ses01F_impro01_F010.wav,frustrated,37,7,7,4.429,1,1,0,1,7.0,7
Ses01F_impro01_F011.wav,frustrated,140,28,19,4.036,10,1,0,5,5.6,32
Ses01F_impro01_F012.wav,angry,22,4,4,4.75,2,0,0,1,4.0,5
Ses01F_impro01_F013.wav,frustrated,36,7,7,4.286,1,1,0,1,7.0,7
Ses01F_impro01_F014.wav,neutral,68,12,11,4.75,4,1,0,3,4.0,12
Ses01F_impro01_F015.wav,frustrated,24,4,4,5.25,2,0,0,2,2.0,4
Ses01F_impro01_M000.wav,frustrated,23,5,5,3.8,1,1,0,1,5.0,5
Ses01F_impro01_M001.wav,frustrated,16,4,4,3.25,1,0,0,1,4.0,4
Ses01F_impro01_M002.wav,frustrated,53,12,12,3.5,2,2,0,2,6.0,12
Ses01F_impro01_M003.wav,frustrated,91,18,17,4.111,4,0,0,1,18.0,20
Ses01F_impro01_M004.wav,frustrated,19,5,5,3.0,1,0,0,1,5.0,5
Ses01F_impro01_M005.wav,frustrated,124,27,23,3.63,8,0,0,3,9.0,29
Ses01F_impro01_M006.wav,frustrated,64,14,14,3.643,2,0,0,1,14.0,14
Ses01F_impro01_M007.wav,frustrated,113,26,21,3.385,7,0,0,3,8.667,29
Ses01F_impro01_M008.wav,frustrated,38,8,8,3.875,3,0,0,2,4.0,8
Ses01F_impro01_M009.wav,frustrated,81,14,12,4.857,6,2,0,3,4.667,15
Ses01F_impro01_M010.wav,frustrated,73,16,15,3.625,4,0,0,2,8.0,16
Ses01F_impro01_M011.wav,angry,120,24,22,4.042,5,0,1,3,8.0,26
Ses01F_impro01_M012.wav,frustrated,18,3,3,5.333,1,0,0,1,3.0,3
Ses01F_impro01_M013.wav,angry,118,22,15,4.409,9,4,0,8,2.75,23
Ses01F_impro02_F000.wav,sad,45,10,8,3.6,2,2,0,2,5.0,10
Ses01F_impro02_F001.wav,sad,13,3,3,3.667,2,0,0,1,3.0,3
Ses01F_impro02_F002.wav,sad,40,9,8,3.556,3,0,0,2,4.5,10
Ses01F_impro02_F003.wav,neutral,52,9,9,4.889,3,0,0,1,9.0,9
Ses01F_impro02_F004.wav,sad,53,9,9,5.0,3,0,0,1,9.0,10
Ses01F_impro02_F005.wav,sad,7,2,2,3.0,1,0,0,1,2.0,2
Ses01F_impro02_F006.wav,neutral,53,8,8,5.75,4,0,0,1,8.0,9
Ses01F_impro02_F007.wav,sad,102,23,21,3.478,6,0,0,3,7.667,26
Ses01F_impro02_F008.wav,sad,31,5,5,5.4,3,0,0,1,5.0,5
Ses01F_impro02_F009.wav,sad,35,8,7,3.5,0,0,0,1,8.0,8
Ses01F_impro02_F010.wav,sad,34,6,6,4.833,2,0,0,1,6.0,7
Ses01F_impro02_F011.wav,sad,36,6,6,5.167,3,0,0,1,6.0,7
Ses01F_impro02_F012.wav,sad,20,5,5,3.2,2,1,0,1,5.0,5
Ses01F_impro02_F013.wav,sad,34,4,4,7.75,3,1,0,1,4.0,5
Ses01F_impro02_F014.wav,sad,51,11,11,3.727,4,1,0,1,11.0,11
Ses01F_impro02_F015.wav,sad,27,5,4,4.6,4,0,0,2,2.5,7
Ses01F_impro02_F016.wav,neutral,23,5,5,3.8,1,0,0,1,5.0,5
Ses01F_impro02_F017.wav,sad,92,16,16,4.812,7,1,0,3,5.333,19
Ses01F_impro02_F018.wav,neutral,27,5,5,4.6,2,0,0,1,5.0,6
Ses01F_impro02_F019.wav,sad,30,6,6,4.167,2,0,0,1,6.0,7
Ses01F_impro02_F020.wav,sad,45,10,6,3.6,0,0,0,1,10.0,10
Ses01F_impro02_M000.wav,sad,14,3,3,4.0,2,0,0,1,3.0,4
Ses01F_impro02_M001.wav,sad,80,16,15,4.062,5,0,0,2,8.0,18
Ses01F_impro02_M002.wav,frustrated,63,11,11,4.818,4,0,0,2,5.5,13
Ses01F_impro02_M003.wav,frustrated,98,23,16,3.304,4,0,0,1,23.0,24
